title,date,link
"5 Shows to See in New York: ‘Me and My Girl,’ ‘Dance Nation’ and More","Tue, 01 May 2018 09:00:11 GMT",https://www.nytimes.com/2018/05/01/theater/5-recommended-shows-me-and-my-girl-dance-nation.html
How to Sell Your Old Phone Safely,"Tue, 01 May 2018 18:35:36 GMT",https://www.nytimes.com/2018/05/01/smarter-living/how-to-sell-your-phone-safely.html
The Workologist: What to Do When Your Old Boss Won’t Let Go,"Fri, 20 Apr 2018 17:43:09 GMT",https://www.nytimes.com/2018/04/20/business/new-job-old-boss.html
"Your Money Adviser: For Workers Without Retirement Savings, State-Run I.R.A.s Can Pay Off","Sat, 21 Apr 2018 03:59:59 GMT",https://www.nytimes.com/2018/04/20/your-money/state-retirement-accounts.html
"An Unlikely Sex Symbol, Poised for a Breakthrough","Wed, 02 May 2018 10:00:15 GMT",https://www.nytimes.com/2018/05/02/movies/franz-rogowski.html
Where Art Forgeries Meet Their Match,"Wed, 02 May 2018 20:22:19 GMT",https://www.nytimes.com/2018/05/02/arts/art-forgeries-sothebys.html
"Diablo Cody, Responding to Criticism, Says ‘Tully’ Is Meant to Be ‘Uncomfortable’","Wed, 02 May 2018 19:21:46 GMT",https://www.nytimes.com/2018/05/02/movies/tully-postpartum-depression-charlize-theron.html
Fiction: A Debut Novel Traces the Filipino Experience in the United States,"Wed, 02 May 2018 09:00:07 GMT",https://www.nytimes.com/2018/05/02/books/review/america-is-not-the-heart-elaine-castillo.html
Andy Warhol’s Never-Before-Seen Photo Portraits,"Wed, 02 May 2018 18:39:42 GMT",https://www.nytimes.com/2018/05/02/t-magazine/andy-warhol-photo-portraits.html
Ecstasy as a Remedy for PTSD? You Probably Have Some Questions.,"Wed, 02 May 2018 00:35:20 GMT",https://www.nytimes.com/2018/05/01/us/ecstasy-molly-ptsd-mdma.html
"Analysis: Sex, Sport, and Why Track and Field’s New Rules on Intersex Athletes Are Essential","Tue, 01 May 2018 00:26:02 GMT",https://www.nytimes.com/2018/04/30/sports/track-gender-rules.html
